prop,seed,test_lang,pos,en_frac,n
0.01,1,nl,det,0.0,120662
0.01,1,nl,noun,0.010488083238226939,120041
0.01,1,nl,prep,0.08454694025785364,27535
0.01,1,nl,aux,0.0,47917
0.01,1,nl,part,0.0,38853
0.01,1,en,det,1.0,125138
0.01,1,en,noun,0.9898272307372661,125138
0.01,1,en,prep,0.917219931511636,28618
0.01,1,en,aux,1.0,41735
0.01,1,en,part,1.0,41932
0.01,1,en,rel,1.0,15695
0.01,1,en,verb,1.0,15495
0.01,1,nl,verb,0.0,14108
0.01,1,nl,rel,0.0,7494
0.01,2,en,det,1.0,128966
0.01,2,en,noun,0.98976086720531,128966
0.01,2,en,rel,1.0,14439
0.01,2,en,verb,1.0,14270
0.01,2,en,aux,1.0,42992
0.01,2,en,part,1.0,43161
0.01,2,en,prep,0.9169148302561049,28543
0.01,2,nl,det,0.0,115774
0.01,2,nl,noun,0.010215368906704988,105772
0.01,2,nl,prep,0.08573250117441783,29802
0.01,2,nl,aux,0.0,41548
0.01,2,nl,part,0.0,37558
0.01,2,nl,rel,0.0,29313
0.01,2,nl,verb,0.0,9868
0.01,3,nl,prep,0.08231637381291003,43594
0.01,3,nl,noun,0.00986368598506439,103511
0.01,3,nl,det,0.0,100376
0.01,3,nl,aux,0.0,51648
0.01,3,nl,part,0.0,45381
0.01,3,nl,rel,0.0,12762
0.01,3,nl,verb,0.0,15843
0.01,3,en,det,1.0,90759
0.01,3,en,noun,0.9899224975201386,91739
0.01,3,en,prep,0.8919172177451742,37351
0.01,3,en,aux,1.0,29864
0.01,3,en,part,1.0,29427
0.01,3,en,rel,1.0,21576
0.01,3,en,verb,0.9993797968834793,25798
0.1,1,nl,det,0.0,128828
0.1,1,nl,noun,0.010435746847919833,121745
0.1,1,nl,prep,0.07628422506907812,31848
0.1,1,nl,aux,0.0,50768
0.1,1,nl,part,0.0,40509
0.1,1,en,det,1.0,126899
0.1,1,en,noun,0.9898319268025041,126671
0.1,1,en,prep,0.9173947993848734,28612
0.1,1,en,aux,1.0,45056
0.1,1,en,part,1.0,44318
0.1,1,en,rel,0.9992872416250891,15433
0.1,1,en,verb,1.0,14217
0.1,1,nl,rel,0.0,11235
0.1,1,nl,verb,0.0,16132
0.1,2,en,det,1.0,128966
0.1,2,en,noun,0.9897647441961447,128966
0.1,2,en,rel,1.0,14439
0.1,2,en,verb,1.0,14280
0.1,2,en,aux,1.0,42980
0.1,2,en,part,1.0,43151
0.1,2,en,prep,0.9169497461040098,28555
0.1,2,nl,det,0.0,123625
0.1,2,nl,noun,0.010282929655219417,117379
0.1,2,nl,prep,0.08608935536037036,31537
0.1,2,nl,aux,0.0,46436
0.1,2,nl,part,0.0,33643
0.1,2,nl,verb,0.0,12943
0.1,2,nl,rel,8.889283968176363e-05,22499
0.1,3,nl,prep,0.10610966057441253,38300
0.1,3,nl,det,0.0,99847
0.1,3,nl,noun,0.011321812464962099,82054
0.1,3,nl,verb,0.0,16548
0.1,3,nl,aux,5.014919385170883e-05,39881
0.1,3,nl,part,0.0,35831
0.1,3,en,det,1.0,88792
0.1,3,en,noun,0.9898709931834826,88755
0.1,3,en,prep,0.8993806589537223,31808
0.1,3,en,aux,1.0,52620
0.1,3,en,part,1.0,52836
0.1,3,en,rel,0.9991892020794582,20967
0.1,3,en,verb,1.0,18401
0.1,3,nl,rel,0.0002846367323703124,14053
0.25,1,nl,det,0.0,129009
0.25,1,nl,noun,0.010318704284221526,122496
0.25,1,nl,prep,0.07431577736890524,34784
0.25,1,nl,aux,0.0,43184
0.25,1,nl,part,0.0,42909
0.25,1,en,det,1.0,121321
0.25,1,en,noun,0.9898564822065964,121309
0.25,1,en,prep,0.9190279249410398,29257
0.25,1,en,aux,1.0,42098
0.25,1,en,part,1.0,42680
0.25,1,en,rel,1.0,28809
0.25,1,en,verb,1.0,14517
0.25,1,nl,rel,0.0,14730
0.25,1,nl,verb,0.0,14173
0.25,2,en,det,1.0,128966
0.25,2,en,noun,0.9897647441961447,128966
0.25,2,en,rel,1.0,14439
0.25,2,en,verb,1.0,14270
0.25,2,en,aux,1.0,42992
0.25,2,en,part,1.0,43161
0.25,2,en,prep,0.9169148302561049,28543
0.25,2,nl,det,0.0,107150
0.25,2,nl,noun,0.010070558689282654,100342
0.25,2,nl,prep,0.0881590319792567,25454
0.25,2,nl,aux,0.0,53784
0.25,2,nl,part,0.0,34709
0.25,2,nl,rel,0.0,14184
0.25,2,nl,verb,0.0,10571
0.25,3,nl,aux,2.686583203481812e-05,37222
0.25,3,nl,det,0.0,98479
0.25,3,nl,noun,0.010187574863239525,80981
0.25,3,nl,prep,0.07490604714724974,29270
0.25,3,nl,verb,0.0,17827
0.25,3,nl,part,3.8375930616317444e-05,26058
0.25,3,nl,rel,0.0,19797
0.25,3,en,det,1.0,119582
0.25,3,en,noun,0.9897256549058324,119521
0.25,3,en,prep,0.9149576107222007,28427
0.25,3,en,aux,1.0,42891
0.25,3,en,part,1.0,43151
0.25,3,en,rel,1.0,14443
0.25,3,en,verb,1.0,14248
0.5,1,nl,det,0.0,128612
0.5,1,nl,noun,0.01036332890827486,126552
0.5,1,nl,prep,0.09755218402857424,30517
0.5,1,nl,aux,0.0,43183
0.5,1,nl,part,0.0,42561
0.5,1,en,det,1.0,122971
0.5,1,en,noun,0.989924453732994,122971
0.5,1,en,prep,0.9184039882861526,28684
0.5,1,en,aux,1.0,46972
0.5,1,en,part,1.0,46642
0.5,1,en,rel,1.0,14385
0.5,1,en,verb,1.0,14195
0.5,1,nl,rel,0.0,14339
0.5,1,nl,verb,0.0,14499
0.5,2,en,det,1.0,128966
0.5,2,en,noun,0.9897647441961447,128966
0.5,2,en,rel,1.0,14439
0.5,2,en,verb,1.0,14270
0.5,2,en,aux,1.0,42992
0.5,2,en,part,1.0,43161
0.5,2,en,prep,0.9169148302561049,28543
0.5,2,nl,det,0.0,102395
0.5,2,nl,noun,0.010883992567029467,90408
0.5,2,nl,prep,0.07543981411629802,33139
0.5,2,nl,aux,3.969120244497807e-05,50389
0.5,2,nl,part,2.304147465437788e-05,43400
0.5,2,nl,verb,0.0,16734
0.5,2,nl,rel,0.0,9187
0.5,3,nl,prep,0.08340143722699732,35485
0.5,3,nl,det,0.0,106700
0.5,3,nl,noun,0.010220534692603766,96130
0.5,3,nl,verb,0.001220802474159681,12287
0.5,3,nl,aux,2.3424140919631773e-05,42691
0.5,3,nl,part,0.0,29567
0.5,3,nl,rel,0.0,22105
0.5,3,en,det,1.0,128889
0.5,3,en,noun,0.9897586295184229,128889
0.5,3,en,prep,0.916532088189861,28484
0.5,3,en,aux,1.0,42992
0.5,3,en,part,1.0,43165
0.5,3,en,rel,1.0,14421
0.5,3,en,verb,1.0,14248
0.75,1,nl,det,0.0,116317
0.75,1,nl,noun,0.011526321447068825,102331
0.75,1,nl,prep,0.08273474574073594,38563
0.75,1,nl,aux,0.0001796783757074836,55655
0.75,1,nl,part,0.0,33923
0.75,1,en,det,1.0,128978
0.75,1,en,noun,0.9897928328862287,128978
0.75,1,en,prep,0.9172343919225797,28623
0.75,1,en,aux,1.0,42992
0.75,1,en,part,1.0,43168
0.75,1,en,rel,1.0,14371
0.75,1,en,verb,1.0,14195
0.75,1,nl,verb,0.00011849745230477545,16878
0.75,1,nl,rel,0.0024824162184526274,9668
0.75,2,en,det,1.0,116918
0.75,2,en,noun,0.9896252074103218,116918
0.75,2,en,rel,1.0,14439
0.75,2,en,verb,1.0,14272
0.75,2,en,aux,1.0,37305
0.75,2,en,part,0.9999466125674016,37462
0.75,2,en,prep,0.915920716112532,28152
0.75,2,nl,det,0.0,97244
0.75,2,nl,noun,0.010356189346103318,94388
0.75,2,nl,prep,0.08710916072408119,27345
0.75,2,nl,aux,0.0,39210
0.75,2,nl,part,0.0,37000
0.75,2,nl,verb,0.00044645348512751827,17919
0.75,2,nl,rel,5.318866017765012e-05,18801
0.75,3,nl,det,0.0,85715
0.75,3,nl,noun,0.012626262626262626,84942
0.75,3,nl,prep,0.07819273091030343,23992
0.75,3,nl,aux,0.0,44063
0.75,3,nl,part,0.0,33444
0.75,3,nl,rel,0.0,16917
0.75,3,nl,verb,0.0,10232
0.75,3,en,det,1.0,126627
0.75,3,en,noun,0.9899112346595486,126626
0.75,3,en,prep,0.9163683582508598,28494
0.75,3,en,aux,1.0,45251
0.75,3,en,part,1.0,45412
0.75,3,en,rel,1.0,14421
0.75,3,en,verb,1.0,14248
0.99,1,nl,det,0.0,125027
0.99,1,nl,noun,0.01017965027653852,125299
0.99,1,nl,prep,0.08035683172457052,28697
0.99,1,nl,aux,0.0,41379
0.99,1,nl,part,0.0,41482
0.99,1,en,det,1.0,128978
0.99,1,en,noun,0.9897928328862287,128978
0.99,1,en,prep,0.9172343919225797,28623
0.99,1,en,aux,1.0,42992
0.99,1,en,part,1.0,43168
0.99,1,en,rel,1.0,14371
0.99,1,en,verb,1.0,14195
0.99,1,nl,verb,0.0,11503
0.99,1,nl,rel,0.0,19078
0.99,2,en,det,1.0,128966
0.99,2,en,noun,0.9897647441961447,128966
0.99,2,en,rel,1.0,14439
0.99,2,en,verb,1.0,14270
0.99,2,en,aux,1.0,42992
0.99,2,en,part,1.0,43161
0.99,2,en,prep,0.9169148302561049,28543
0.99,2,nl,det,0.000508042572245376,116132
0.99,2,nl,noun,0.010242884118982035,115446
0.99,2,nl,prep,0.08912906030190469,25306
0.99,2,nl,aux,0.0,46360
0.99,2,nl,part,7.035152311047534e-05,42643
0.99,2,nl,verb,0.0,13470
0.99,2,nl,rel,0.00010309278350515464,9700
0.99,3,nl,det,0.006210516949906575,112390
0.99,3,nl,noun,0.011425379334052691,104723
0.99,3,nl,prep,0.09021963199552083,39293
0.99,3,nl,aux,0.0,43790
0.99,3,nl,part,0.00011986096128490951,33372
0.99,3,nl,verb,0.0002579446966570367,19384
0.99,3,en,det,1.0,128885
0.99,3,en,noun,0.989758311673197,128885
0.99,3,en,prep,0.916532088189861,28484
0.99,3,en,aux,1.0,42990
0.99,3,en,part,1.0,43163
0.99,3,en,rel,1.0,14421
0.99,3,en,verb,1.0,14248
0.99,3,nl,rel,0.0,16945
0.9,1,nl,det,0.0,122711
0.9,1,nl,noun,0.010582824708074746,116982
0.9,1,nl,prep,0.0868393970579333,33038
0.9,1,nl,aux,0.0,41204
0.9,1,nl,part,0.0,41370
0.9,1,en,det,1.0,128978
0.9,1,en,noun,0.9897928328862287,128978
0.9,1,en,prep,0.9172343919225797,28623
0.9,1,en,aux,1.0,42992
0.9,1,en,part,1.0,43168
0.9,1,en,rel,1.0,14371
0.9,1,en,verb,1.0,14195
0.9,1,nl,rel,0.0,13812
0.9,1,nl,verb,0.0,14579
0.9,2,en,det,1.0,128966
0.9,2,en,noun,0.9897647441961447,128966
0.9,2,en,rel,1.0,14439
0.9,2,en,verb,1.0,14270
0.9,2,en,aux,1.0,42992
0.9,2,en,part,1.0,43161
0.9,2,en,prep,0.9169148302561049,28543
0.9,2,nl,det,0.0,121663
0.9,2,nl,noun,0.009976771638551464,105044
0.9,2,nl,prep,0.08748425912970477,28588
0.9,2,nl,aux,0.0,65147
0.9,2,nl,part,0.0,35094
0.9,2,nl,verb,0.0,18570
0.9,2,nl,rel,0.0,14226
0.9,3,nl,aux,0.0,59689
0.9,3,nl,det,0.0,118906
0.9,3,nl,prep,0.09320571159579476,38238
0.9,3,nl,noun,0.010289877911989098,107873
0.9,3,nl,part,0.0,39627
0.9,3,nl,rel,0.0,10084
0.9,3,nl,verb,0.00019572025052192068,15328
0.9,3,en,det,1.0,128889
0.9,3,en,noun,0.9897586295184229,128889
0.9,3,en,prep,0.916532088189861,28484
0.9,3,en,aux,1.0,42992
0.9,3,en,part,1.0,43165
0.9,3,en,rel,1.0,14421
0.9,3,en,verb,1.0,14248
0.0,1,nl,det,0.0,126944
0.0,1,nl,noun,0.010064483806322322,123752
0.0,1,nl,prep,0.07702888583218707,31988
0.0,1,nl,aux,0.0,53969
0.0,1,nl,part,0.0,39121
0.0,1,nl,rel,0.0,11048
0.0,1,en,prep,0.47774172615184946,7705
0.0,1,en,det,0.0,40522
0.0,1,en,noun,0.01404974993419321,45588
0.0,1,en,aux,0.0,86351
0.0,1,en,part,0.0,70286
0.0,1,en,rel,0.0,17309
0.0,1,en,verb,0.0,50497
0.0,1,nl,verb,0.0,14371
0.0,2,en,aux,0.0,39861
0.0,2,en,det,0.0,9320
0.0,2,en,noun,0.008458909864993558,17851
0.0,2,en,part,0.0,20966
0.0,2,nl,det,0.0,122415
0.0,2,nl,noun,0.010376378815506513,122297
0.0,2,nl,prep,0.08427804826042148,28139
0.0,2,nl,aux,0.0,41040
0.0,2,nl,part,0.0,40681
0.0,2,nl,rel,0.0,12681
0.0,2,nl,verb,0.0,12700
0.0,2,en,prep,0.4979967948717949,3744
0.0,2,en,verb,0.0,57
0.0,3,nl,det,0.0,92880
0.0,3,nl,noun,0.010927870003753618,82587
0.0,3,nl,prep,0.0998784046692607,20560
0.0,3,nl,aux,0.0,52073
0.0,3,nl,part,0.0,22920
0.0,3,nl,rel,0.0,8284
0.0,3,nl,verb,0.0,11955
0.0,3,en,det,0.0,62929
0.0,3,en,noun,0.06806213480174093,41587
0.0,3,en,prep,0.4047955508957469,21937
0.0,3,en,aux,0.0,32086
0.0,3,en,part,0.0,16360
0.0,3,en,verb,0.0,4923
1.0,1,en,det,1.0,122387
1.0,1,en,noun,0.9900558795937513,122585
1.0,1,en,prep,0.9172372833985467,28624
1.0,1,en,aux,1.0,39920
1.0,1,en,part,1.0,37858
1.0,1,nl,det,1.0,26202
1.0,1,nl,noun,0.9881219844572944,27151
1.0,1,nl,aux,1.0,10786
1.0,1,nl,part,1.0,10747
1.0,1,en,rel,1.0,11418
1.0,1,en,verb,1.0,8983
1.0,1,nl,prep,0.5021739130434782,3680
1.0,1,nl,rel,1.0,105
1.0,1,nl,verb,1.0,6
1.0,2,en,det,1.0,128966
1.0,2,en,noun,0.9897647441961447,128966
1.0,2,en,rel,1.0,14439
1.0,2,en,verb,1.0,14270
1.0,2,en,aux,1.0,42992
1.0,2,en,part,1.0,43161
1.0,2,en,prep,0.9169148302561049,28543
1.0,2,nl,det,1.0,45946
1.0,2,nl,noun,0.9870053025648028,43941
1.0,2,nl,aux,1.0,14581
1.0,2,nl,part,1.0,24495
1.0,2,nl,prep,0.6906849768365321,6044
1.0,2,nl,verb,1.0,200
1.0,2,nl,rel,1.0,9
1.0,3,nl,det,1.0,91728
1.0,3,nl,part,1.0,31547
1.0,3,nl,noun,0.9765044239331919,52329
1.0,3,nl,aux,1.0,9179
1.0,3,en,det,1.0,128921
1.0,3,en,noun,0.9897593445980543,128898
1.0,3,en,prep,0.916532088189861,28484
1.0,3,en,aux,1.0,42989
1.0,3,en,part,1.0,43163
1.0,3,en,rel,1.0,14403
1.0,3,en,verb,1.0,14230
1.0,3,nl,prep,0.5008960573476703,2232
